157,Norvel Pelle,Phi,0,0,0
158,OG Anunoby,Tor,10.5,6.9,1.2
159,P.J. Tucker,Hou,7.9,7.2,1.4
160,Pascal Siakam,Tor,17,7.5,3.8
161,Pat Connaughton,Mil,4,3.9,1.1
162,Patrick Beverley,Lac,6.3,4.1,2.4
163,Patrick Patterson,Lac,4.5,0.5,2
164,Paul George,Lac,20.2,6.1,3.8
165,Paul Millsap,Den,8,4.7,1.2
166,Paul Watson,Tor,1,0,0.5
167,PJ Dozier,Den,3.2,1.5,1
168,Quinn Cook,Lal,2.2,0.2,0.8
169,Rajon Rondo,Lal,8.9,4.3,6.6
170,Raul Neto,Phi,4,1.5,1.5
171,Rayjon Tucker,Uta,2.5,0,0
172,Reggie Jackson,Lac,4.9,1.8,0.9
173,Robert Covington,Hou,11.2,5,1.4
174,Robert Williams III,Bos,3.7,3.9,0.8
175,Robin Lopez,Mil,2,1.3,0
176,Rodions Kurucs,Bro,5.5,3.3,0.8
177,Rodney McGruder,Lac,1.6,0.8,0.4
178,Romeo Langford,Bos,1.4,0.4,0.3
179,Rondae Hollis-Jefferson,Tor,2.8,2,0.6
180,Royce O'Neale,Uta,5.6,5.4,2.7
181,Rudy Gobert,Uta,16.9,11.4,1.1
182,Russell Westbrook,Hou,17.9,7,4.6
183,Semi Ojeleye,Bos,1.6,0.9,0.1
184,Serge Ibaka,Tor,14.8,7.7,1.2
185,Seth Curry,Dal,12.8,1.8,1.3
186,Shai Gilgeous-Alexander,Okc,16.3,5.3,4.1
187,Shake Milton,Phi,14.5,3.3,2.8
188,Solomon Hill,Mia,1.7,1,0.4
189,Stanley Johnson,Tor,4.3,1.3,2
190,Sterling Brown,Mil,0,1,0
191,Steven Adams,Okc,10.1,11.6,1.3
192,T.J. McConnell,Ind,2.3,2,2.3
193,T.J. Warren,Ind,20,6.3,3
194,Tacko Fall,Bos,1.5,0.5,0
195,Talen Horton-Tucker,Lal,7,2.5,0
196,Terance Mann,Lac,0.3,0.5,0.1
197,Terence Davis,Tor,7.2,2.2,1.2
198,Terrance Ferguson,Okc,1.5,1,0.3
199,Terrence Ross,Orl,16.4,4.4,1
200,Tim Hardaway Jr.,Dal,17.8,3.5,1.8
201,Timothe Luwawu-Cabarrot,Bro,16,3.8,1.5
202,Tobias Harris,Phi,15.8,9.8,4
203,Tony Bradley,Uta,1.5,3.8,0.2
204,Torrey Craig,Den,4.5,3.3,0.7
205,Tremont Waters,Bos,0,1,1
206,Trey Burke,Dal,12.3,3.2,2
207,Troy Daniels,Den,2.7,0.5,0.3
208,Tyler Cook,Den,0,2,0
209,Tyler Herro,Mia,16,5,3.7
210,Tyler Johnson,Bro,13.8,1.8,2.3
211,Vic Law,Orl,3,2,1
212,Victor Oladipo,Ind,17.8,3.3,2.5
213,Vincent Poirier,Bos,0,0,1
214,Wenyen Gabriel,Por,5.3,2.5,1
215,Wes Iwundu,Orl,4.2,2.2,0.8
216,Wesley Matthews,Mil,7.2,1.8,0.9
